GeoName,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colorado,      Health care and social assistance,16574237,16933402,17373791,17652072,18386588,19519018,20381834,20857415,21586918
Colorado,"    Arts, entertainment, recreation, accommodation, and food services",11362045,11857024,12030002,13170985,13739055,14660718,14867799,15334357,15937541
Colorado,"      Arts, entertainment, and recreation",3132888,3243846,3224049,4062863,4599135,4949759,5149708,5195135,5441982
Colorado,      Accommodation and food services,8228636,8612828,8805953,9111954,9150268,9722969,9734279,10150927,10510032
Colorado,    Other services (except government and government enterprises),6115668,6077474,6238003,6288365,6527645,6685052,6740346,6792118,7043096
Colorado,Government and government enterprises,35083324,34772539,34681740,34576951,35111063,36231010,36969607,37731355,38286122
Colorado,Natural resources and mining,14821236,14833841,14907038,15694931,19293736,22209034,21297812,22111294,22500111
Colorado,Trade,29835167,29779397,30629519,31593411,33069104,34647891,35564375,36977676,37620064
Colorado,Transportation and utilities,11249255,11122401,11522386,13251597,14039359,14586068,14611262,15053257,15922493
Colorado,Private goods-producing industries 2/,45652234,45716215,45760775,48830503,54788093,58988492,59238318,61974595,64332668
Colorado,Private services-providing industries 3/,184033048,188178887,193076989,199131509,205827405,214051942,220444727,229841803,238484318
"Adams, CO*",All industry total,18284799,18379281,18583034,19084472,20324722,21039417,21995795,22938605,23933937
"Adams, CO*",  Private industries,15253330,15414751,15634777,16069958,17201079,17731391,18512072,19297541,20069682
"Adams, CO*","    Mining, quarrying, and oil and gas extraction",99994,98071,87863,144356,183476,144255,125101,138667,226035
"Adams, CO*",    Construction,1033095,1156658,1254387,1461667,1675126,1804367,2128777,2126662,2193788
"Adams, CO*",    Manufacturing,2551378,2317485,2243381,2258004,3005862,2901609,2808887,2899405,3083210
"Adams, CO*",      Durable goods manufacturing,754311,783927,758049,812523,801878,837261,784700,772730,802127
"Adams, CO*",      Nondurable goods manufacturing,1820541,1533551,1485331,1442996,2234643,2081850,2049939,2167540,2328289
"Adams, CO*",    Wholesale trade,1893332,1911263,1988920,2030555,2097180,2184367,2208909,2303388,2314672
"Adams, CO*",    Retail trade,1151058,1222526,1246987,1238539,1235891,1320370,1391338,1431941,1476503
"Adams, CO*",    Transportation and warehousing,1101278,1087593,1128519,1170865,1198603,1283354,1368891,1482736,1634588
"Adams, CO*",    Information,644472,677216,675414,771780,647346,576100,532733,595584,591439
"Adams, CO*","    Finance, insurance, real estate, rental, and leasing",3002612,3072897,3088269,2975238,2993479,3131659,3285454,3372712,3506389
"Adams, CO*",      Finance and insurance,280013,327051,341384,316853,330704,353803,363967,370257,398041
"Adams, CO*",      Real estate and rental and leasing,2721214,2745659,2746885,2658536,2662408,2776968,2921196,3002548,3106403
"Adams, CO*",    Professional and business services,1378333,1374388,1417325,1405578,1509638,1598279,1674136,1904244,1923884
"Adams, CO*","      Professional, scientific, and technical services",616229,628297,659051,637976,680263,706735,755141,896533,846205
"Adams, CO*",      Management of companies and enterprises,147851,143663,139917,151291,159507,179131,192194,214670,229422
"Adams, CO*",      Administrative and support and waste management and remediation services,614248,602426,618357,616318,669683,712374,727929,796552,848882
"Adams, CO*",      Health care and social assistance,1065936,1107267,1146022,1173613,1195412,1225373,1273629,1311596,1351837
"Adams, CO*",      Accommodation and food services,389497,404396,426411,455725,480638,505582,514231,542090,567751
"Adams, CO*",    Other services (except government and government enterprises),371702,384132,432038,505312,526033,546883,549465,559913,586747
"Adams, CO*",Government and government enterprises,3029909,2964379,2948258,3014700,3126786,3307495,3481569,3638308,3857812
"Adams, CO*",Trade,3044250,3133776,3235907,3269155,3333285,3504958,3600498,3735734,3790860
"Adams, CO*",Manufacturing and information,3185146,2994222,2918795,3031612,3639883,3462658,3325188,3481401,3661604
"Alamosa, CO",All industry total,614762,637660,614267,600333,600714,662337,659375,654314,671553
"Alamosa, CO",  Private industries,484855,509562,486605,475677,476782,536262,533936,527438,547505
"Alamosa, CO","    Agriculture, forestry, fishing and hunting",23532,53219,26071,18790,20245,63835,42902,7817,14023
"Alamosa, CO","    Mining, quarrying, and oil and gas extraction",9234,6156,4235,6153,4537,4473,3920,6621,5572
"Alamosa, CO",    Construction,33556,29506,25143,24710,22789,24499,22883,25935,26098
"Alamosa, CO",    Manufacturing,8916,10176,9398,9461,9749,9901,9352,9825,10053
"Alamosa, CO",      Durable goods manufacturing,4871,5833,5814,5899,6001,6132,5855,5890,5933
"Alamosa, CO",      Nondurable goods manufacturing,4060,4348,3584,3562,3749,3769,3496,3939,4126
"Alamosa, CO",    Retail trade,57654,57383,58586,58946,59601,62228,65867,68506,70604
"Alamosa, CO",    Transportation and warehousing,13962,16191,19822,19012,17324,18336,18126,22319,23114
"Alamosa, CO",    Information,16536,14106,13114,14362,14672,14155,14556,15576,15632
"Alamosa, CO","    Finance, insurance, real estate, rental, and leasing",131980,134542,133423,128543,128383,133334,138079,136902,144613
"Alamosa, CO",      Finance and insurance,28474,31915,33024,31976,33580,34624,35240,29962,33759
"Alamosa, CO",      Real estate and rental and leasing,103419,102610,100399,96566,94740,98658,102826,107352,111052
"Alamosa, CO",    Professional and business services,34816,35766,36950,36009,38638,38339,36870,39925,40222
"Alamosa, CO","      Professional, scientific, and technical services",14920,14436,14299,13421,14890,14471,13468,13501,13581
"Alamosa, CO","    Educational services, health care, and social assistance",84313,79368,81416,83225,82784,90786,91991,96809,102108
"Alamosa, CO","    Arts, entertainment, recreation, accommodation, and food services",25344,25146,25772,25641,26907,28498,28467,29263,30136
"Alamosa, CO","      Arts, entertainment, and recreation",2177,2047,2010,2305,3103,3596,3722,3266,3246
"Alamosa, CO",      Accommodation and food services,23167,23099,23762,23338,23819,24926,24773,25999,26885
"Alamosa, CO",    Other services (except government and government enterprises),13921,13287,12875,12638,12728,12805,13271,13101,13697
"Alamosa, CO",Government and government enterprises,129827,128104,127662,124656,123949,126444,125810,127127,124626
"Alamosa, CO",Natural resources and mining,33599,59324,30306,24783,24790,68815,47222,15369,20139
"Alamosa, CO",Manufacturing and information,25547,24282,22512,23818,24418,24085,23849,25313,25625
"Alamosa, CO",Private goods-producing industries 2/,77498,99070,64847,58981,57277,97641,77690,57510,61715
"Alamosa, CO",Private services-providing industries 3/,406350,410588,421758,416702,419500,439714,454817,465752,481726
"Arapahoe, CO",All industry total,32351649,33490827,34093393,36272073,38302465,39956471,41013746,42654549,44037874
"Arapahoe, CO",  Private industries,29528133,30697120,31257853,33480098,35490647,37020719,38066513,39707290,41041575
"Arapahoe, CO","    Agriculture, forestry, fishing and hunting",9315,19840,10906,10729,5301,12426,5183,9327,9749
"Arapahoe, CO","    Mining, quarrying, and oil and gas extraction",426152,487764,466180,303066,373877,391328,282027,275788,286178
"Arapahoe, CO",    Utilities,27740,29603,26083,23035,25476,29268,26075,25958,27685
"Arapahoe, CO",    Construction,1065680,1035335,1199010,1533639,1704400,1762721,1891706,2082528,2135747
"Arapahoe, CO",    Manufacturing,973245,980758,954047,973716,991361,1096114,1078281,1011550,1115867
"Arapahoe, CO",      Durable goods manufacturing,614157,623139,618244,665344,665371,740993,731333,677807,760794
"Arapahoe, CO",      Nondurable goods manufacturing,359234,357831,335803,308277,325911,355098,346975,333559,355194
"Arapahoe, CO",    Wholesale trade,2656740,2718766,2760615,2805036,2986740,3171042,3227980,3320576,3332021
"Arapahoe, CO",    Retail trade,2134390,2072690,2138353,2187208,2275555,2375110,2438570,2558770,2515451
"Arapahoe, CO",    Transportation and warehousing,349699,266295,248637,316035,387080,439805,544240,697808,806269
"Arapahoe, CO",    Information,4733404,4733620,4388606,4580347,4867765,4580671,4715385,4859692,5094738
"Arapahoe, CO","    Finance, insurance, real estate, rental, and leasing",6381263,7297028,7826057,8886517,9262474,9618466,9741577,10461907,10582062
"Arapahoe, CO",      Finance and insurance,3951990,3961332,4346139,4003059,4149047,4259796,4172357,4710773,4615858
"Arapahoe, CO",      Real estate and rental and leasing,2452502,3333181,3479918,4879628,5109752,5356082,5576263,5740377,5971590
"Arapahoe, CO",    Professional and business services,6135607,6308370,6387516,6658135,7021010,7435773,7657960,8030114,8522712
"Arapahoe, CO","      Professional, scientific, and technical services",3857352,3965357,3951054,3993317,4255568,4608887,4941942,5026608,5360808
"Arapahoe, CO",      Management of companies and enterprises,975077,974462,996975,1156473,1185486,1181870,1105742,1278468,1346931
"Arapahoe, CO",      Administrative and support and waste management and remediation services,1303097,1368462,1439487,1508383,1579728,1643995,1611060,1727037,1817783
"Arapahoe, CO","    Educational services, health care, and social assistance",2783865,2816576,2843653,3013055,3161067,3392049,3557151,3476340,3669684
"Arapahoe, CO",      Educational services,328907,325000,314414,302868,308192,317818,317837,299236,296024
"Arapahoe, CO",      Health care and social assistance,2455263,2491692,2529239,2710532,2853549,3075611,3241725,3180295,3378785
"Arapahoe, CO","    Arts, entertainment, recreation, accommodation, and food services",1071801,1147476,1213741,1364226,1549321,1792568,1932302,1884291,1920399
"Arapahoe, CO","      Arts, entertainment, and recreation",341791,383646,434720,527245,697639,875576,1020186,925564,939610
"Arapahoe, CO",      Accommodation and food services,730495,764073,779021,837267,853673,920811,918618,962165,984100
"Arapahoe, CO",    Other services (except government and government enterprises),753378,772048,794449,819466,869787,877765,870468,863842,900090
"Arapahoe, CO",Government and government enterprises,2823251,2793687,2835541,2794362,2818023,2942098,2956673,2962197,3014006
"Arapahoe, CO",Natural resources and mining,436186,507462,477086,313874,378865,404837,286743,285895,296742
"Arapahoe, CO",Trade,4791362,4791472,4898968,4992220,5262440,5546310,5666720,5879163,5848216
"Arapahoe, CO",Transportation and utilities,376415,295963,274720,339061,412485,469003,570361,724123,834441
"Arapahoe, CO",Manufacturing and information,5707654,5714998,5342653,5553958,5858078,5685588,5797722,5862568,6210075
"Arapahoe, CO",Private goods-producing industries 2/,2476050,2524366,2630142,2826171,3079995,3269895,3317090,3461456,3626868
"Arapahoe, CO",Private services-providing industries 3/,27052471,28172858,28627710,30653887,32408783,33746785,34746185,36242393,37408471
"Archuleta, CO",All industry total,403415,399376,419589,424356,440306,464385,481176,479089,482935
"Archuleta, CO",  Private industries,357584,354522,374965,378929,392122,412610,425180,421829,422249
"Archuleta, CO","    Mining, quarrying, and oil and gas extraction",31419,26232,28993,38590,45159,43857,52805,47887,45300
"Archuleta, CO",    Construction,33601,36191,36299,35921,38017,38312,38651,37727,39766
"Archuleta, CO",    Manufacturing,4097,4596,5338,5633,5425,5819,7157,7147,6900
"Archuleta, CO",      Durable goods manufacturing,2091,2091,2219,2375,1795,1916,2071,2185,2360
"Archuleta, CO",      Nondurable goods manufacturing,1996,2501,3119,3258,3626,3898,5075,4954,4533
"Archuleta, CO",    Retail trade,35153,33225,32344,33125,34391,40411,42960,45768,44625
"Archuleta, CO",    Transportation and warehousing,1986,2104,1423,1280,1570,2348,3440,3264,2607
"Archuleta, CO","    Finance, insurance, real estate, rental, and leasing",127715,129860,137514,126665,125042,128520,127747,127938,128263
"Archuleta, CO",      Finance and insurance,12248,12773,13578,13008,12206,11931,12618,9200,8424
"Archuleta, CO",      Real estate and rental and leasing,115453,117085,123936,113647,112869,116682,115131,119286,120555
"Archuleta, CO",    Professional and business services,40188,43698,46292,42672,43360,41389,40462,44879,47773
"Archuleta, CO","      Professional, scientific, and technical services",19913,21729,21812,19753,21700,20225,18963,19882,22435
"Archuleta, CO",      Management of companies and enterprises,12777,14303,16254,14794,14196,14026,14051,15706,15009
"Archuleta, CO",      Administrative and support and waste management and remediation services,7500,7668,8226,8125,7456,7145,7447,9237,10140
"Archuleta, CO","    Educational services, health care, and social assistance",11205,11144,12401,13095,15266,17773,17674,17795,20080
"Archuleta, CO","    Arts, entertainment, recreation, accommodation, and food services",24890,25215,25130,27283,28696,31492,30115,31860,33424
"Archuleta, CO","      Arts, entertainment, and recreation",2698,2963,3004,3550,4230,4553,4252,3993,3991
"Archuleta, CO",      Accommodation and food services,22192,22252,22126,23735,24478,26948,25870,27851,29405
"Archuleta, CO",Government and government enterprises,45852,44870,44623,45425,48162,51692,55677,56803,59975
"Baca, CO",All industry total,227075,212165,145896,175999,133594,118407,121877,127452,137473
"Baca, CO",  Private industries,193967,179883,115667,146594,103476,87097,90066,95783,105867
"Baca, CO","    Agriculture, forestry, fishing and hunting",105560,92375,23607,59418,18780,4771,9526,7558,17179
"Baca, CO","    Mining, quarrying, and oil and gas extraction",5591,4349,5793,4743,4390,3065,2487,3187,2542
"Baca, CO",    Utilities,770,816,798,875,919,1018,1158,1321,1548
"Baca, CO",      Durable goods manufacturing,60,91,51,41,7,0,1,68,74
"Baca, CO",    Wholesale trade,3479,3860,4438,4706,4815,4674,4564,4723,4787
"Baca, CO",    Retail trade,8412,6642,6799,6431,6425,6423,7319,7457,7563
"Baca, CO","    Finance, insurance, real estate, rental, and leasing",41188,41339,40034,38050,36655,36461,37742,39213,40047
"Baca, CO",      Management of companies and enterprises,11347,12242,14160,12806,13467,13435,12324,14856,14703
"Baca, CO","    Educational services, health care, and social assistance",1190,1392,1263,1330,1320,1302,1307,1041,1040
"Baca, CO",    Other services (except government and government enterprises),3752,3562,3189,2757,2489,2501,2638,2719,2773
"Baca, CO",Government and government enterprises,33144,32239,30229,29444,29854,30717,31236,31200,31314
"Baca, CO",Natural resources and mining,109555,95172,29399,63988,23308,7644,13028,11128,21662
"Baca, CO",Trade,11894,10501,11238,11137,11241,11098,11885,12182,12353
"Baca, CO",Manufacturing and information,3092,2267,1591,1467,1137,746,497,910,1110
"Baca, CO",Private goods-producing industries 2/,114214,100315,34361,69320,27228,10944,15553,13950,23120
"Baca, CO",Private services-providing industries 3/,79704,78921,81306,77067,75391,73523,72841,79369,81874
"Bent, CO",All industry total,181098,186608,164357,171723,167051,172963,181238,163672,165660
"Bent, CO",  Private industries,138725,149791,138708,148171,144009,149919,158006,139812,141182
"Bent, CO","    Agriculture, forestry, fishing and hunting",43540,53552,42698,53016,50784,53628,65127,36866,31884
"Bent, CO","    Mining, quarrying, and oil and gas extraction",1052,646,620,674,755,714,629,641,1603
"Bent, CO",    Utilities,14839,13859,14136,13087,12146,12088,13390,11591,12570
"Bent, CO",      Durable goods manufacturing,51,159,258,231,94,140,112,130,135
"Bent, CO",    Retail trade,3918,3792,3451,3641,3648,3801,4160,4285,4511
"Bent, CO","    Finance, insurance, real estate, rental, and leasing",38343,40098,39037,37431,36559,36737,37946,38696,40184
"Bent, CO",      Management of companies and enterprises,11347,12242,14160,12806,13468,13436,12325,14857,14704
"Bent, CO","    Educational services, health care, and social assistance",2314,2542,2466,2773,3210,2954,3059,2967,2834
"Bent, CO",      Educational services,108,90,72,55,49,36,50,60,60
"Bent, CO",      Health care and social assistance,2207,2452,2394,2718,3163,2920,3009,2906,2773
"Bent, CO","    Arts, entertainment, recreation, accommodation, and food services",1929,1902,2029,2552,2502,2742,2045,2225,2367
"Bent, CO",Government and government enterprises,42133,36829,25648,23569,23054,23132,23455,23606,24168
"Bent, CO",Natural resources and mining,44757,54183,43318,53688,51546,54362,65882,37475,33248
"Bent, CO",Private goods-producing industries 2/,46132,55990,45059,55896,53263,56304,68062,40887,37215
"Bent, CO",Private services-providing industries 3/,91835,93877,93649,92251,90668,93709,93094,94272,97728
"Boulder, CO*",All industry total,20453633,20369551,20432621,20865085,21597092,22669578,23423069,24607654,25319458
"Boulder, CO*",  Private industries,18147519,18119498,18180803,18622678,19299560,20256727,20891200,22034636,22752662
"Boulder, CO*","    Agriculture, forestry, fishing and hunting",5990,31044,6658,11048,6972,13191,16538,12839,15711
"Boulder, CO*","    Mining, quarrying, and oil and gas extraction",78781,66612,56846,54581,71342,75791,55849,41491,37271
"Boulder, CO*",    Utilities,103555,101300,87095,85915,92179,98099,85074,48353,35115
"Boulder, CO*",    Construction,417271,329493,364703,439837,491737,565041,655305,670923,681367
"Boulder, CO*",    Manufacturing,2978786,2946500,2734936,2741189,2836787,2956224,2801918,3010822,3176065
"Boulder, CO*",      Durable goods manufacturing,1854979,1856437,1908745,2059868,2113753,2191290,2117704,2283163,2405778
"Boulder, CO*",      Nondurable goods manufacturing,1132651,1096523,826191,682970,723952,764877,689582,734645,777189
"Boulder, CO*",    Wholesale trade,1011228,1035601,1090118,1148259,1178989,1218183,1222719,1296071,1294428
"Boulder, CO*",    Retail trade,930784,925696,971010,979922,986603,1014867,1081721,1108001,1157860
"Boulder, CO*",    Transportation and warehousing,103304,92706,113085,124421,125579,137650,146643,117939,128530
"Boulder, CO*",    Information,2912840,2843061,2528982,2581194,2497882,2543735,2690112,3127872,3096360
"Boulder, CO*","    Finance, insurance, real estate, rental, and leasing",3165522,3148528,3272135,3250774,3466250,3813507,4076823,4219808,4241493
"Boulder, CO*",      Finance and insurance,700394,668104,706087,727656,699137,667133,681991,631136,622760
"Boulder, CO*",      Real estate and rental and leasing,2466247,2480217,2566049,2522567,2772377,3163549,3417297,3624448,3657243
"Boulder, CO*",    Professional and business services,3872044,3977464,4298530,4440137,4648141,4749982,4885890,5190614,5598402
"Boulder, CO*","      Professional, scientific, and technical services",3351587,3457312,3739150,3877380,4049551,4141065,4275221,4548004,4901189
"Boulder, CO*",      Management of companies and enterprises,119862,115321,135301,141213,141071,146786,165970,206366,232351
"Boulder, CO*",      Administrative and support and waste management and remediation services,400627,404841,424079,421608,457210,462059,446641,441792,471701
"Boulder, CO*","    Educational services, health care, and social assistance",1517834,1541492,1555498,1586921,1649264,1742198,1805249,1862176,1928421
"Boulder, CO*",      Educational services,156940,157130,163185,166715,186604,192009,201798,203508,214802
"Boulder, CO*",      Health care and social assistance,1360910,1384325,1392313,1420203,1462242,1549991,1603086,1658598,1713226
"Boulder, CO*","    Arts, entertainment, recreation, accommodation, and food services",608076,646434,675370,743419,795681,849070,856371,870206,899541
"Boulder, CO*","      Arts, entertainment, and recreation",126976,138599,143758,189246,217570,231323,243977,241575,249789
"Boulder, CO*",      Accommodation and food services,481123,507829,531612,554404,578620,618271,613266,629232,650377
"Boulder, CO*",    Other services (except government and government enterprises),434304,429626,425836,434101,445951,454475,459107,441638,457011
"Boulder, CO*",Government and government enterprises,2306428,2250064,2251818,2243022,2298887,2414205,2531156,2577262,2576626
"Boulder, CO*",Natural resources and mining,86778,97208,63504,65840,77910,89767,74804,56253,55278
"Boulder, CO*",Trade,1942060,1961296,2061128,2128246,2165718,2233180,2304599,2404495,2451849
"Boulder, CO*",Transportation and utilities,207106,194691,200180,210346,217836,235780,231905,166904,164614
"Boulder, CO*",Manufacturing and information,5892209,5789905,5263918,5322432,5334298,5499817,5488786,6132019,6268820
"Boulder, CO*",Private goods-producing industries 2/,3482747,3374252,3163143,3247893,3409018,3618153,3558149,3766158,3937691
"Boulder, CO*",Private services-providing industries 3/,14663864,14744872,15017660,15374820,15891118,16639797,17330430,18266094,18814102
"Broomfield, CO*",All industry total,6006842,6486965,6984737,7233944,7053166,7595628,7596604,8366371,8050690
"Broomfield, CO*",  Private industries,5915360,6398467,6892280,7146069,6972350,7541242,7539727,8307933,7989680
"Broomfield, CO*","    Mining, quarrying, and oil and gas extraction",9684,8601,12781,20615,20527,29403,24380,20376,24943
"Broomfield, CO*",    Construction,104497,102936,104400,110508,122019,136492,147318,161368,207529
"Broomfield, CO*",    Manufacturing,2018628,2525201,2810538,2781787,2622601,2442603,2209754,2239353,2282406
"Broomfield, CO*",      Durable goods manufacturing,1559367,2065242,2405258,2399918,2142716,1908429,1695751,1738465,1773184
"Broomfield, CO*",      Nondurable goods manufacturing,406313,429491,405280,375126,480831,538509,512966,507459,525902
"Broomfield, CO*",    Wholesale trade,318546,337782,360112,337213,302842,262605,274345,293849,300026
"Broomfield, CO*",    Retail trade,321045,301120,267655,247175,244468,254971,266518,280335,284496
"Broomfield, CO*",    Transportation and warehousing,7601,16603,17067,20726,22201,25877,27549,17600,18395
"Broomfield, CO*",    Information,1333649,1305530,1303542,1506198,1573371,1987110,2124124,2436264,2352831
"Broomfield, CO*","    Finance, insurance, real estate, rental, and leasing",533230,530045,558580,553240,560229,658564,692599,704106,747685
"Broomfield, CO*",      Finance and insurance,150124,150607,172796,171345,183667,242498,264573,259383,280895
"Broomfield, CO*",      Real estate and rental and leasing,383088,379461,385784,381629,375077,412488,421069,437856,453633
"Broomfield, CO*",    Professional and business services,917659,975903,1121721,1256054,1272403,1336493,1405198,1878458,1576650
"Broomfield, CO*","      Professional, scientific, and technical services",558196,621450,694212,789318,770628,749148,832460,823332,835358
"Broomfield, CO*",      Management of companies and enterprises,300341,296301,360009,397152,428655,514678,503155,1013297,688467
"Broomfield, CO*",      Administrative and support and waste management and remediation services,58988,57962,67501,71190,84224,87683,91422,96414,100224
"Broomfield, CO*","    Educational services, health care, and social assistance",102682,107351,115488,128101,131796,139288,148427,167473,181207
"Broomfield, CO*",      Educational services,23284,25389,27167,27140,28502,28298,29743,29538,25952
"Broomfield, CO*",      Health care and social assistance,79705,82150,88321,100733,102822,110413,118041,137306,154947
"Broomfield, CO*","    Arts, entertainment, recreation, accommodation, and food services",150120,158745,161433,197253,167061,186966,204902,249630,256686
"Broomfield, CO*","      Arts, entertainment, and recreation",23937,27610,27239,62378,61007,66760,82663,118061,123259
"Broomfield, CO*",      Accommodation and food services,126256,131296,134194,134954,106284,120452,122887,133417,135764
"Broomfield, CO*",    Other services (except government and government enterprises),54116,56652,57819,56352,57177,66054,67495,72459,74289
"Broomfield, CO*",Government and government enterprises,93756,87291,92457,97272,100750,108965,111986,115991,118557
"Broomfield, CO*",Trade,639634,638919,627768,584587,547420,517638,540879,574207,584609
"Chaffee, CO",All industry total,547545,550462,556676,566759,585605,606033,634208,662174,692114
"Chaffee, CO",  Private industries,439218,445657,451390,460422,475713,489571,513986,537610,561023
"Chaffee, CO","    Agriculture, forestry, fishing and hunting",1536,1212,1483,2203,1928,1831,2423,4646,5486
"Chaffee, CO","    Mining, quarrying, and oil and gas extraction",3201,2500,2002,3351,3333,2961,2099,2706,2297
"Chaffee, CO",    Utilities,4755,4957,4691,4995,5083,5231,5973,5977,6254
"Chaffee, CO",    Construction,40993,40909,44083,47499,48685,45746,51000,54181,55777
"Chaffee, CO",    Manufacturing,9720,10644,11730,12846,12761,11671,12202,12511,12948
"Chaffee, CO",      Durable goods manufacturing,7472,8144,9159,9356,8932,7900,7857,7745,7161
"Chaffee, CO",      Nondurable goods manufacturing,2247,2499,2571,3497,3842,3786,4365,4788,5843
"Chaffee, CO",    Wholesale trade,16475,18878,21744,21931,23626,24856,25391,25026,25223
"Chaffee, CO",    Retail trade,55621,52913,52154,54200,56669,61415,67271,70864,74709
"Chaffee, CO",    Transportation and warehousing,5066,4529,3534,4338,5339,7466,11377,12227,13131
"Chaffee, CO","    Finance, insurance, real estate, rental, and leasing",158193,165931,163582,154071,150267,152665,157916,160513,165858
"Chaffee, CO",      Finance and insurance,20748,25734,24916,25213,25311,21920,21984,17793,17099
"Chaffee, CO",      Real estate and rental and leasing,137307,140206,138666,128826,124879,131022,136307,143913,150296
"Chaffee, CO",    Professional and business services,34840,36262,40287,39808,45380,46070,46403,51067,56115
"Chaffee, CO","      Professional, scientific, and technical services",18644,19545,20956,21769,26793,27715,29007,29861,34279
"Chaffee, CO","    Educational services, health care, and social assistance",27146,26430,27725,29441,29830,30134,29304,30255,30605
"Chaffee, CO",      Educational services,2640,2881,3250,3807,3695,3576,3352,3059,3154
"Chaffee, CO",      Health care and social assistance,24496,23547,24475,25629,26136,26568,25971,27246,27496
"Chaffee, CO","    Arts, entertainment, recreation, accommodation, and food services",55092,55256,52167,56726,61884,67428,68777,72326,76130
"Chaffee, CO","      Arts, entertainment, and recreation",21877,20930,17638,21119,26048,28149,29175,29662,30600
"Chaffee, CO",      Accommodation and food services,33211,34321,34528,35621,35907,39350,39689,42709,45540
"Chaffee, CO",Government and government enterprises,108316,104803,105286,106344,109899,116400,120192,124547,131058
"Chaffee, CO",Natural resources and mining,4741,3716,3485,5543,5227,4775,4689,7773,8321
"Chaffee, CO",Trade,72103,71789,73898,76130,80296,86272,92664,95877,99891
"Chaffee, CO",Transportation and utilities,9761,9468,8225,9334,10415,12661,17324,18190,19375
"Chaffee, CO",Private goods-producing industries 2/,55476,55279,59298,65836,66662,62206,68055,74011,76504
"Chaffee, CO",Private services-providing industries 3/,383740,390374,392093,394553,409052,427669,446091,463568,484547
"Cheyenne, CO",All industry total,279212,249932,221785,239873,223024,217923,230128,251808,235536
"Cheyenne, CO",  Private industries,262067,233691,207789,226576,209238,203742,215768,238222,222257
"Cheyenne, CO","    Agriculture, forestry, fishing and hunting",100626,71120,39591,57486,44717,54854,68645,83515,75853
"Cheyenne, CO","    Mining, quarrying, and oil and gas extraction",93527,90004,93130,98535,93971,77666,80329,80731,69921
"Cheyenne, CO",    Utilities,299,330,324,335,394,380,446,420,446
"Cheyenne, CO",    Retail trade,4172,4211,4238,3982,3921,4323,4684,5079,4806
"Cheyenne, CO","    Finance, insurance, real estate, rental, and leasing",25541,27414,28246,25261,24375,23510,24004,24665,24171
"Cheyenne, CO",    Professional and business services,13304,14549,17103,15289,15109,14533,13448,16439,16319
"Cheyenne, CO",      Educational services,30,71,121,89,29,10,11,9,9
"Cheyenne, CO","    Arts, entertainment, recreation, accommodation, and food services",841,445,527,958,966,773,486,578,594
"Cheyenne, CO","      Arts, entertainment, and recreation",0,11,80,495,509,345,99,164,170
"Cheyenne, CO",      Accommodation and food services,842,435,447,465,460,428,384,412,423
"Cheyenne, CO",Government and government enterprises,17151,16266,13996,13291,13746,14005,14384,14360,13824
