"Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)" 1 2
"Annual"
"Table: 36-10-0434-06 (formerly CANSIM 379-0031)"
"Geography: Canada"

"Seasonal adjustment","Prices","Geography","North American Industry Classification System (NAICS)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
,,,"Real estate and rental and leasing  [53]","128,893","132,708","138,567","143,785","148,989","155,757","159,429","164,169","170,935","175,644","181,749","186,130","191,269","197,448","203,639","210,100","215,931","222,014","228,619","234,251","240,108","244,363","250,900",""
,,,"Professional, scientific and technical services  [54]","53,508","59,722","65,657","72,381","73,321","74,443","77,263","78,713","81,087","85,413","88,956","91,961","89,641","89,805","94,167","96,785","99,402","104,517","104,164","106,553","109,519","113,065","118,125",""
,,,"Management of companies and enterprises  [55]","","","","","","","","","","","10,730","11,738","11,709","11,290","11,422","11,444","12,188","11,360","11,830","10,110","9,539","9,451","9,359",""
,,,"Administrative and support, waste management and remediation services  [56]","26,957","28,816","31,642","33,155","34,867","37,854","38,950","41,428","43,475","44,631","46,845","46,282","44,236","45,031","45,629","47,801","48,140","50,049","50,982","50,970","51,107","51,429","52,173",""
,,,"Educational services  [61]","68,096","68,747","70,306","71,119","71,263","73,514","75,206","77,361","79,807","81,645","85,062","88,088","89,418","91,166","91,927","93,705","95,112","96,452","97,640","98,244","99,450","102,193","104,389",""
,,,"Health care and social assistance  [62]","88,491","90,431","92,624","95,819","97,402","99,877","102,897","104,862","106,532","108,680","111,310","113,826","116,492","118,226","120,291","122,167","122,357","124,221","126,012","128,970","131,393","135,454","139,843",""
,,,"Arts, entertainment and recreation  [71]","12,321","12,479","12,741","13,119","13,575","13,878","13,516","13,788","13,258","13,270","13,380","13,450","13,377","12,955","12,929","12,931","13,003","13,677","13,928","14,322","14,743","15,046","15,430",""
,,,"Accommodation and food services  [72]","27,788","29,404","30,318","31,414","31,762","32,389","31,642","32,570","33,001","33,141","33,559","33,833","34,086","33,971","34,701","35,545","36,850","38,971","39,975","41,069","42,536","43,534","44,616",""
,,,"Other services (except public administration)  [81]","24,454","25,412","26,658","27,840","29,231","30,377","30,652","31,218","31,962","32,794","33,038","33,988","33,664","33,344","34,323","35,040","35,877","37,097","37,239","36,672","37,007","37,383","37,929",""
,,,"Public administration  [91]","83,835","84,561","86,409","89,414","91,438","95,154","96,925","99,051","100,892","105,386","107,262","111,941","117,964","121,234","123,419","122,427","121,921","121,309","122,079","124,195","126,681","130,310","133,415",""

Symbol legend:
...,not applicable,

Footnotes:
1,Aggregates are not always equal to the sum of their components.
2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006."
3,"Effective November 30, 2018 the data is presented on a 2012 reference year basis."
4,"The alphanumeric code appearing in square brackets beside the industry title represents the identification code of an aggregation of NAICS industries, whose definition is included in the full classification provided in the definitions, data sources and methods for the statistical program 1301 - Gross domestic product by Industry - National (Monthly)."

"How to cite: Statistics Canada. Table 36-10-0434-06 Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406
DOI: https://doi.org/10.25318/3610043401-eng
